"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M",
"0500000US06019","Fresno County, California","322163","1128","6.3","0.4","4.3","0.3","7.1","0.3","7.4","0.4","11.0","0.5","16.2","0.5","12.7","0.5","16.9","0.6","8.3","0.4","9.8","0.4","71434","1034","97005","1535","44.6","(X)","(X)","(X)","(X)","(X)","229308","2220","4.7","0.4","2.5","0.2","5.7","0.4","6.6","0.4","11.1","0.6","16.0","0.7","13.4","0.6","18.5","0.7","9.7","0.5","11.7","0.5","81068","1352","107482","1925","(X)","(X)","46.5","(X)","(X)","(X)","149943","2137","2.0","0.3","1.2","0.2","3.6","0.4","4.6","0.5","8.7","0.7","14.4","0.7","14.5","0.8","21.8","1.0","12.8","0.6","16.3","0.7","102049","2192","129929","2742","(X)","(X)","(X)","(X)","(X)","(X)","92855","2111","12.6","1.0","9.4","0.8","11.5","0.9","10.2","0.8","12.4","0.8","16.2","1.0","9.9","0.9","10.8","0.9","3.3","0.5","3.7","0.5","41798","1895","61674","2126","(X)","(X)","(X)","(X)","36.6","(X)",
"0500000US06021","Glenn County, California","9763","270","3.5","1.0","3.5","1.3","6.6","1.6","8.0","1.8","14.0","3.1","17.5","2.9","14.3","2.9","19.1","3.4","8.2","2.1","5.4","1.4","70487","4406","86148","4552","38.1","(X)","(X)","(X)","(X)","(X)","6865","461","1.6","0.9","2.9","1.7","5.0","2.0","7.0","2.7","12.0","3.2","16.9","3.2","15.4","3.4","23.2","3.7","9.6","2.7","6.4","1.9","81208","6638","95594","5133","(X)","(X)","39.3","(X)","(X)","(X)","5021","445","1.7","1.0","1.9","1.8","3.3","1.7","4.4","1.9","11.5","3.8","17.0","3.7","13.7","3.6","27.6","4.9","10.8","3.0","8.2","2.4","95009","8885","N","N","(X)","(X)","(X)","(X)","(X)","(X)","2898","457","8.1","2.6","5.1","2.3","14.6","4.6","15.5","5.0","18.1","6.8","16.4","5.8","7.6","3.1","9.4","6.6","2.4","2.3","3.0","1.5","41225","6890","56233","8168","(X)","(X)","(X)","(X)","33.3","(X)",
"0500000US06023","Humboldt County, California","54878","651","7.1","0.9","5.0","0.7","8.2","0.9","9.2","1.0","12.5","1.2","16.6","1.3","11.5","1.1","15.0","1.5","6.8","0.8","8.0","1.0","61135","1997","86742","3447","38.0","(X)","(X)","(X)","(X)","(X)","30043","1018","4.1","0.8","2.0","0.8","5.3","1.0","6.2","1.3","10.8","1.3","17.2","1.8","14.2","1.7","18.9","2.2","9.5","1.3","11.7","1.5","83309","3922","109873","5029","(X)","(X)","38.6","(X)","(X)","(X)","21041","867","1.4","0.6","1.4","0.8","2.8","0.9","3.3","0.8","9.4","1.5","16.6","2.3","15.2","1.9","22.3","2.4","12.3","1.8","15.2","1.9","99812","6117","129208","6787","(X)","(X)","(X)","(X)","(X)","(X)","24835","926","11.9","1.9","9.1","1.4","12.5","1.7","13.7","1.8","14.6","1.8","15.4","1.6","8.2","1.3","8.9","1.5","2.7","0.7","3.0","1.0","37104","2409","54825","3122","(X)","(X)","(X)","(X)","35.5","(X)",
"0500000US06025","Imperial County, California","48844","774","6.8","1.0","4.8","0.8","12.1","1.5","8.4","1.1","13.0","1.3","15.4","1.4","11.4","1.2","17.1","1.6","5.5","0.9","5.6","0.8","56393","2266","77390","2583","43.6","(X)","(X)","(X)","(X)","(X)","36700","964","5.6","1.0","2.6","0.7","9.0","1.2","8.5","1.3","12.8","1.5","17.5","1.6","12.0","1.2","18.9","1.7","6.6","1.2","6.6","1.1","64569","3201","85335","3053","(X)","(X)","45.1","(X)","(X)","(X)","23973","911","2.9","1.0","1.4","0.5","6.7","1.4","6.3","1.3","11.6","1.7","16.2","2.3","13.3","1.7","23.7","2.5","9.3","1.7","8.7","1.4","82593","6776","101387","4106","(X)","(X)","(X)","(X)","(X)","(X)","12144","866","12.1","2.6","12.5","2.5","23.4","4.4","9.0","2.2","14.4","3.4","8.3","2.3","7.8","2.3","10.0","2.8","0.9","0.6","1.5","0.8","27489","5080","45183","4380","(X)","(X)","(X)","(X)","36.0","(X)",
"0500000US06027","Inyo County, California","7923","216","3.9","1.3","5.5","1.9","8.1","2.1","4.6","1.2","15.0","2.8","13.8","2.8","13.6","2.3","16.5","2.3","8.4","1.9","10.8","2.6","72432","7052","93044","6119","33.8","(X)","(X)","(X)","(X)","(X)","4590","268","1.9","1.3","2.5","1.7","5.8","2.3","3.2","1.4","13.3","3.8","11.6","2.6","15.2","3.4","17.7","3.7","12.2","3.1","16.6","3.9","89948","8049","114275","8362","(X)","(X)","33.5","(X)","(X)","(X)","3458","310","1.3","1.3","2.4","2.2","6.1","2.5","3.2","1.6","7.5","3.0","8.4","1.9","16.1","4.1","20.2","4.6","15.3","3.7","19.6","4.6","107970","8401","N","N","(X)","(X)","(X)","(X)","(X)","(X)","3333","338","6.6","2.4","10.0","3.9","11.5","3.4","6.5","2.6","17.1","4.4","17.2","5.8","12.3","4.3","14.1","4.9","2.8","2.1","1.8","1.0","48927","4264","61069","5045","(X)","(X)","(X)","(X)","34.2","(X)",
"0500000US06029","Kern County, California","281416","1216","5.2","0.3","4.6","0.4","7.7","0.4","8.9","0.5","11.8","0.6","16.4","0.6","12.6","0.6","16.4","0.6","8.0","0.5","8.4","0.4","67660","1400","91401","1654","36.2","(X)","(X)","(X)","(X)","(X)","207458","2164","4.1","0.3","2.9","0.3","6.3","0.5","8.2","0.5","11.5","0.7","16.9","0.6","13.4","0.6","17.8","0.8","9.0","0.6","9.9","0.6","75186","1302","99668","2032","(X)","(X)","38.1","(X)","(X)","(X)","137870","2390","1.7","0.3","1.4","0.3","4.0","0.4","5.7","0.5","9.9","0.8","16.4","0.8","14.2","0.7","21.5","1.0","11.6","0.8","13.7","0.8","94342","1629","118844","2766","(X)","(X)","(X)","(X)","(X)","(X)","73958","2315","10.7","1.1","10.2","1.0","14.2","1.1","11.7","1.0","13.5","1.0","14.5","1.2","9.3","1.0","9.5","0.8","3.8","0.5","2.6","0.5","37994","2063","57705","2338","(X)","(X)","(X)","(X)","28.2","(X)",
"0500000US06031","Kings County, California","43736","417","5.6","1.1","2.9","0.7","6.7","1.0","7.5","1.0","13.5","1.6","18.4","1.5","14.0","1.4","17.5","1.5","7.0","0.9","6.9","1.1","68750","2976","86268","2996","44.0","(X)","(X)","(X)","(X)","(X)","33440","784","4.9","1.1","1.9","0.6","5.0","1.1","7.5","1.2","12.6","2.0","18.5","1.8","15.2","1.9","19.1","1.9","7.8","1.2","7.5","1.2","74578","4756","92119","3612","(X)","(X)","46.2","(X)","(X)","(X)","22472","924","2.1","0.8","0.9","0.5","2.4","0.6","5.1","1.2","11.5","2.3","17.8","2.2","17.7","2.5","22.1","2.5","10.4","1.6","10.2","1.8","89469","3704","107521","4490","(X)","(X)","(X)","(X)","(X)","(X)","10296","766","10.9","3.2","6.4","2.3","13.3","3.0","10.3","2.4","15.7","3.1","18.1","2.9","11.1","2.2","9.1","2.5","1.7","0.8","3.4","2.1","43662","2745","56840","5257","(X)","(X)","(X)","(X)","33.9","(X)",
"0500000US06033","Lake County, California","26364","620","6.3","1.1","5.1","1.0","9.2","1.4","7.6","1.4","13.0","2.0","19.1","1.8","10.8","1.4","13.7","1.3","7.3","1.4","7.9","1.3","58738","2308","86272","4944","42.3","(X)","(X)","(X)","(X)","(X)","15782","651","4.3","1.4","1.8","1.0","5.9","1.2","5.2","1.6","12.3","2.6","17.9","2.0","13.8","2.0","18.4","2.3","9.2","2.1","11.1","2.0","80539","7152","104566","5852","(X)","(X)","43.1","(X)","(X)","(X)","10665","655","1.5","0.9","1.3","0.9","2.8","1.4","4.5","1.8","9.4","2.6","17.7","2.5","15.5","2.9","21.5","2.9","11.3","2.6","14.7","2.8","96303","6246","N","N","(X)","(X)","(X)","(X)","(X)","(X)","10582","661","11.6","2.5","10.2","2.1","14.9","3.0","11.4","2.5","13.3","3.1","21.1","3.3","5.6","1.6","6.2","1.7","2.9","1.9","2.7","1.8","36523","4115","54636","8585","(X)","(X)","(X)","(X)","38.5","(X)",
"0500000US06035","Lassen County, California","9060","314","5.9","1.6","2.9","1.1","8.6","1.9","7.5","2.0","14.3","2.4","16.5","2.5","14.2","2.2","17.5","2.4","6.8","1.3","5.7","1.7","64395","5496","81066","4647","42.3","(X)","(X)","(X)","(X)","(X)","5905","360","5.0","1.9","1.0","0.7","4.7","1.7","5.2","1.7","14.5","3.2","18.7","3.3","14.0","3.0","20.5","3.1","9.4","1.8","7.0","2.2","78028","8873","92612","5716","(X)","(X)","48.3","(X)","(X)","(X)","4350","340","3.0","2.1","0.8","0.6","4.3","1.8","5.2","2.1","13.4","3.8","14.3","3.1","12.7","3.4","25.2","4.0","12.1","2.3","9.1","3.0","90984","10782","N","N","(X)","(X)","(X)","(X)","(X)","(X)","3155","347","9.3","3.2","6.8","2.7","17.0","4.7","12.1","4.2","13.5","3.3","15.2","3.8","12.1","4.0","10.2","3.1","1.6","1.0","2.2","1.5","37339","7443","54312","5657","(X)","(X)","(X)","(X)","30.5","(X)",
"0500000US06037","Los Angeles County, California","3390254","6035","5.2","0.1","3.7","0.1","5.9","0.1","6.0","0.1","9.0","0.1","13.9","0.1","12.0","0.1","17.5","0.2","10.3","0.1","16.5","0.2","87760","463","125539","631","41.7","(X)","(X)","(X)","(X)","(X)","2221256","8491","3.3","0.1","1.8","0.1","4.7","0.1","5.7","0.1","8.9","0.2","14.0","0.2","12.3","0.2","18.5","0.2","11.5","0.2","19.6","0.2","98839","684","140371","783","(X)","(X)","44.7","(X)","(X)","(X)","1478495","9241","1.6","0.1","1.0","0.1","3.5","0.1","4.1","0.1","6.7","0.2","11.9","0.2","11.7","0.2","19.7","0.2","13.7","0.3","26.0","0.3","121838","889","167276","1119","(X)","(X)","(X)","(X)","(X)","(X)","1168998","7111","10.0","0.2","7.8","0.2","8.9","0.3","7.5","0.2","10.0","0.2","14.3","0.3","11.2","0.3","14.5","0.3","7.0","0.2","9.0","0.2","59840","398","89225","779","(X)","(X)","(X)","(X)","33.9","(X)",
"0500000US06039","Madera County, California","44513","569","5.5","1.0","3.9","0.9","6.8","0.9","7.1","0.9","10.7","1.3","15.7","1.3","15.1","1.7","16.8","1.3","8.8","1.1","9.7","1.4","75496","2389","99476","6118","45.0","(X)","(X)","(X)","(X)","(X)","34223","880","4.3","1.0","2.0","0.7","5.7","1.0","7.3","1.1","10.6","1.6","15.8","1.5","15.7","2.1","17.6","1.6","10.6","1.4","10.4","1.6","82186","3063","106472","7723","(X)","(X)","44.9","(X)","(X)","(X)","23771","948","2.4","0.8","1.4","0.6","3.6","0.9","5.8","1.1","8.6","1.4","13.9","1.8","16.8","2.5","20.9","2.1","13.3","1.8","13.3","2.0","96547","4567","119494","4935","(X)","(X)","(X)","(X)","(X)","(X)","10290","766","11.5","2.8","10.3","2.6","13.8","2.7","10.1","2.2","12.6","2.6","14.8","2.9","9.6","2.7","9.3","2.6","2.7","1.1","5.2","2.9","41153","6073","62401","7540","(X)","(X)","(X)","(X)","41.3","(X)",
"0500000US06041","Marin County, California","103201","828","3.4","0.5","2.0","0.3","3.1","0.4","3.8","0.5","5.9","0.6","10.0","0.8","9.5","0.9","14.1","0.9","11.0","0.8","37.2","1.1","142785","4083","224140","5994","37.6","(X)","(X)","(X)","(X)","(X)","65149","1059","1.5","0.4","0.6","0.3","1.7","0.5","2.5","0.6","4.5","0.7","7.6","0.9","8.0","1.0","13.6","1.1","12.1","1.1","47.9","1.5","190681","4692","277263","8494","(X)","(X)","37.8","(X)","(X)","(X)","52673","1302","0.7","0.2","0.5","0.3","0.7","0.2","1.6","0.5","3.1","0.5","6.4","0.9","6.7","0.9","13.2","1.2","12.4","1.1","54.7","1.7","218358","6729","311556","9579","(X)","(X)","(X)","(X)","(X)","(X)","38052","1109","7.1","1.1","4.5","0.8","6.1","1.0","6.5","0.9","8.7","1.1","14.8","1.8","11.7","1.6","14.5","1.4","9.2","1.1","16.9","1.6","80392","4976","123981","6584","(X)","(X)","(X)","(X)","35.8","(X)",
"0500000US06043","Mariposa County, California","7515","315","3.3","1.7","5.1","2.2","8.8","2.7","11.0","3.5","10.5","2.9","17.9","3.9","10.6","2.7","16.1","3.2","9.4","2.9","7.4","2.0","65378","7311","86394","6263","42.4","(X)","(X)","(X)","(X)","(X)","4451","322","3.3","2.1","1.2","0.9","7.1","3.2","7.2","3.6","8.2","3.2","18.7","5.2","9.5","2.5","21.8","5.0","12.3","4.1","10.7","2.9","82228","14201","104804","8188","(X)","(X)","48.5","(X)","(X)","(X)","3561","283","1.9","1.6","1.0","0.8","5.0","3.0","7.7","4.1","8.3","3.7","17.8","5.6","9.0","2.8","22.9","5.3","13.9","4.8","12.5","3.7","95724","21375","N","N","(X)","(X)","(X)","(X)","(X)","(X)","3064","401","3.7","2.4","10.8","4.9","12.9","4.7","16.5","5.8","13.8","4.9","15.4","4.8","12.4","5.1","8.0","3.8","5.5","4.0","1.1","1.2","41780","8020","56687","7177","(X)","(X)","(X)","(X)","33.6","(X)",
"0500000US06045","Mendocino County, California","34570","618","5.6","1.2","5.2","0.9","8.0","1.1","8.3","1.2","11.9","1.3","16.8","1.5","13.3","1.4","16.1","1.5","6.8","1.2","8.0","1.2","64688","2951","91472","4242","40.4","(X)","(X)","(X)","(X)","(X)","20056","739","4.3","1.3","2.3","0.9","4.0","1.1","6.6","1.5","11.8","1.8","15.2","1.9","16.5","2.2","18.8","2.1","9.4","1.8","11.0","1.8","81500","5568","109053","6200","(X)","(X)","41.2","(X)","(X)","(X)","13903","706","2.3","1.2","1.2","0.6","1.7","0.7","3.7","1.3","9.5","1.9","14.1","2.1","18.7","2.7","22.5","2.7","12.1","2.3","14.3","2.6","98421","4884","N","N","(X)","(X)","(X)","(X)","(X)","(X)","14514","750","8.5","2.0","9.5","1.9","15.1","2.5","11.7","1.9","11.5","2.2","18.0","2.5","9.1","1.9","11.1","2.2","2.8","1.2","2.6","0.9","41657","5347","61924","5939","(X)","(X)","(X)","(X)","36.8","(X)",
"0500000US06047","Merced County, California","84605","603","6.0","0.7","3.9","0.5","8.3","0.9","8.4","0.8","11.7","1.0","18.5","1.2","13.8","1.1","15.6","1.0","7.0","0.7","6.9","0.7","65044","2052","87129","2440","46.3","(X)","(X)","(X)","(X)","(X)","63278","1089","4.4","0.7","2.7","0.6","7.3","1.1","7.4","0.8","10.9","1.0","18.6","1.3","15.5","1.3","17.7","1.1","7.5","0.9","8.0","0.8","73010","2494","94946","2789","(X)","(X)","47.7","(X)","(X)","(X)","39778","1132","2.1","0.6","0.9","0.3","5.3","1.1","5.8","0.8","8.4","1.2","17.5","1.4","17.0","1.5","21.6","1.5","10.0","1.2","11.5","1.1","88195","2226","113913","3883","(X)","(X)","(X)","(X)","(X)","(X)","21327","1055","14.1","2.2","8.9","1.4","13.5","1.9","11.5","1.9","14.6","2.4","17.5","2.2","7.1","1.6","7.3","1.7","2.4","0.7","3.0","1.2","36733","2583","52233","3707","(X)","(X)","(X)","(X)","38.0","(X)",
"0500000US06049","Modoc County, California","3264","240","6.3","2.9","1.9","1.3","11.6","3.4","6.0","2.6","17.5","5.1","22.5","5.0","15.2","3.5","11.3","3.1","3.0","1.5","4.7","2.3","56648","3735","74476","9571","41.5","(X)","(X)","(X)","(X)","(X)","2068","223","2.0","1.8","0.1","0.2","10.7","4.4","1.8","1.7","18.6","7.4","25.5","5.8","16.0","4.6","15.9","4.8","2.7","1.6","6.8","3.3","62857","11240","88792","13583","(X)","(X)","41.4","(X)","(X)","(X)","1671","205","0.2","0.4","0.0","2.5","7.5","4.2","1.4","1.5","17.8","8.7","25.0","6.0","18.9","5.5","18.3","5.7","2.7","1.8","8.4","4.2","72068","9785","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1196","214","14.6","7.4","5.3","3.6","15.1","6.4","13.7","6.6","16.3","5.7","14.0","7.3","13.9","6.0","2.4","2.2","3.7","3.2","0.9","1.5","37344","10780","47216","7458","(X)","(X)","(X)","(X)","40.9","(X)",
"0500000US06051","Mono County, California","5521","390","2.7","1.4","3.4","1.4","6.6","2.9","5.9","2.8","5.8","2.7","18.7","6.6","12.3","4.9","24.6","6.9","7.4","3.1","12.6","4.1","86953","18529","115814","13634","31.4","(X)","(X)","(X)","(X)","(X)","3555","372","5.2","3.4","0.4","0.6","3.2","2.6","6.4","3.6","4.0","2.5","11.1","5.4","11.8","5.4","35.4","9.6","8.6","3.8","14.0","5.7","109698","6674","132359","20693","(X)","(X)","36.4","(X)","(X)","(X)","2895","350","3.0","2.7","0.0","1.5","3.3","3.1","5.7","3.9","3.7","2.5","9.5","5.4","9.3","4.6","40.6","10.9","9.3","4.6","15.6","6.3","112862","8895","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1966","439","2.6","1.8","8.8","4.1","8.4","5.6","5.0","5.3","9.5","6.3","34.8","14.7","13.1","9.8","4.3","4.5","5.0","5.1","8.5","5.4","58398","2072","81458","19089","(X)","(X)","(X)","(X)","22.5","(X)",
"0500000US06053","Monterey County, California","132046","784","3.2","0.3","2.2","0.4","5.0","0.5","5.4","0.5","9.3","0.6","14.2","0.7","13.5","0.8","20.1","1.0","11.1","0.7","16.0","0.7","94486","1879","128334","2791","40.0","(X)","(X)","(X)","(X)","(X)","96239","1234","2.3","0.4","1.2","0.3","4.6","0.5","5.5","0.7","9.3","0.8","13.6","0.8","13.1","0.9","20.5","1.0","12.1","0.9","17.7","0.8","100520","2298","135609","3148","(X)","(X)","39.8","(X)","(X)","(X)","67983","1498","1.0","0.3","0.8","0.3","2.4","0.4","3.7","0.6","7.5","0.8","12.2","1.0","12.0","1.1","22.9","1.4","14.5","1.1","22.9","1.1","120296","2831","157732","3974","(X)","(X)","(X)","(X)","(X)","(X)","35807","1124","7.6","1.0","5.8","1.1","8.5","1.0","7.5","0.9","11.1","1.2","15.6","1.7","14.1","1.6","15.6","1.6","6.1","1.0","8.2","1.1","65299","4852","92188","5214","(X)","(X)","(X)","(X)","36.0","(X)",
"0500000US06055","Napa County, California","49663","500","3.6","0.6","2.4","0.5","3.4","0.6","5.0","0.9","7.6","1.0","12.6","1.3","11.6","1.0","18.5","1.2","13.0","1.1","22.4","1.3","108970","3018","154011","6383","35.6","(X)","(X)","(X)","(X)","(X)","33270","807","2.3","0.6","1.5","0.6","1.9","0.7","2.9","0.7","5.6","1.0","12.1","1.5","11.4","1.3","20.4","1.4","15.2","1.4","26.8","1.7","129463","4695","175908","8290","(X)","(X)","36.6","(X)","(X)","(X)","25779","862","1.6","0.7","1.1","0.6","1.2","0.6","1.7","0.7","4.0","1.0","10.1","1.5","11.0","1.5","20.5","1.5","16.9","1.5","32.0","2.0","147261","4040","197606","10722","(X)","(X)","(X)","(X)","(X)","(X)","16393","733","7.0","1.4","4.7","1.0","7.2","1.3","9.9","2.1","12.0","2.0","14.1","1.9","11.6","1.9","14.6","2.0","8.4","1.2","10.6","1.4","65050","5887","101371","5721","(X)","(X)","(X)","(X)","32.3","(X)",
"0500000US06057","Nevada County, California","41873","726","5.2","1.0","2.8","0.6","6.5","1.0","6.9","1.1","9.7","1.2","13.8","1.6","11.7","1.3","17.8","1.6","10.5","1.2","15.1","1.3","84905","4336","117745","4562","35.4","(X)","(X)","(X)","(X)","(X)","26938","854","3.0","0.8","1.3","0.6","3.9","1.1","3.9","1.1","7.5","1.3","14.4","2.0","11.9","1.5","21.2","1.9","14.1","1.7","18.7","1.5","106554","4583","138137","6142","(X)","(X)","36.7","(X)","(X)","(X)","21858","956","1.9","0.6","0.7","0.6","2.0","0.7","3.0","1.1","5.8","1.2","14.1","2.1","11.7","1.6","22.9","2.1","16.0","1.9","21.7","1.8","118759","6178","N","N","(X)","(X)","(X)","(X)","(X)","(X)","14935","807","10.1","2.1","5.7","1.4","12.5","2.7","12.0","2.2","14.9","2.5","13.5","2.5","9.8","2.0","10.6","2.6","3.5","1.1","7.2","1.7","45620","2622","74543","6054","(X)","(X)","(X)","(X)","32.0","(X)",
"0500000US06059","Orange County, California","1074654","2589","4.1","0.2","2.2","0.2","4.0","0.2","4.3","0.2","6.9","0.2","11.6","0.2","11.0","0.2","19.1","0.4","12.7","0.3","24.1","0.3","113702","986","152475","1187","41.8","(X)","(X)","(X)","(X)","(X)","760555","4837","2.5","0.2","1.2","0.1","3.0","0.2","3.5","0.2","6.4","0.2","10.9","0.3","10.5","0.2","19.5","0.4","14.2","0.4","28.4","0.4","128689","1423","169904","1529","(X)","(X)","43.7","(X)","(X)","(X)","576173","4949","1.3","0.1","0.7","0.1","2.2","0.1","2.6","0.2","4.9","0.2","9.3","0.3","9.5","0.3","19.5","0.5","15.7","0.5","34.3","0.5","149866","1597","191841","1870","(X)","(X)","(X)","(X)","(X)","(X)","314099","4139","8.9","0.5","5.0","0.4","7.0","0.4","6.9","0.4","9.3","0.4","14.1","0.4","12.2","0.5","17.5","0.7","8.4","0.5","10.8","0.6","72852","1514","99978","2053","(X)","(X)","(X)","(X)","35.4","(X)",
"0500000US06061","Placer County, California","155422","928","3.5","0.5","1.8","0.3","4.3","0.4","4.4","0.5","7.0","0.5","11.5","0.6","11.1","0.6","19.5","0.8","13.4","0.7","23.5","0.8","114678","1891","147894","2630","32.7","(X)","(X)","(X)","(X)","(X)","110695","1293","2.0","0.3","0.8","0.2","2.3","0.3","2.7","0.4","4.8","0.6","10.0","0.7","10.9","0.7","21.4","0.9","15.6","0.8","29.5","1.1","137395","3118","170294","3569","(X)","(X)","33.1","(X)","(X)","(X)","90463","1517","1.1","0.3","0.4","0.1","1.7","0.3","1.5","0.3","3.6","0.4","8.6","0.7","10.3","0.7","21.7","1.0","17.0","0.8","34.1","1.2","153118","3701","186533","4017","(X)","(X)","(X)","(X)","(X)","(X)","44727","1410","8.1","1.3","4.1","0.7","9.8","1.2","9.0","1.1","12.7","1.3","16.1","1.3","11.5","1.4","14.4","1.4","7.2","1.1","7.1","1.1","59403","2427","86430","4575","(X)","(X)","(X)","(X)","29.9","(X)",
"0500000US06063","Plumas County, California","8055","367","5.3","1.9","2.5","1.0","8.7","2.9","5.8","1.9","13.6","3.3","19.4","4.1","13.5","2.9","16.4","3.2","5.9","2.2","8.9","3.1","64946","4399","93296","7441","49.6","(X)","(X)","(X)","(X)","(X)","5000","344","2.1","1.1","0.7","0.5","4.2","3.0","4.7","2.1","11.3","4.7","18.2","4.8","14.7","3.8","23.4","5.1","8.6","2.6","12.0","4.5","88167","10545","114502","11203","(X)","(X)","46.0","(X)","(X)","(X)","3955","416","1.2","1.0","0.5","0.5","1.9","1.3","4.1","2.0","9.7","5.4","20.2","5.7","14.5","4.3","25.0","5.9","8.6","2.4","14.3","5.1","94692","14492","N","N","(X)","(X)","(X)","(X)","(X)","(X)","3055","399","11.5","4.8","5.6","2.4","15.8","6.0","8.1","3.5","18.5","4.7","19.7","7.0","12.2","5.0","6.4","2.9","0.6","0.6","1.7","1.9","42452","4348","51071","5696","(X)","(X)","(X)","(X)","55.6","(X)",
"0500000US06065","Riverside County, California","762234","2214","4.0","0.2","2.6","0.2","5.5","0.2","6.1","0.2","9.0","0.3","14.8","0.3","13.1","0.3","19.5","0.4","11.6","0.3","13.8","0.4","89672","879","115609","1134","43.7","(X)","(X)","(X)","(X)","(X)","569980","2948","2.8","0.2","1.4","0.1","3.5","0.2","5.1","0.3","8.2","0.3","14.9","0.4","13.8","0.4","21.4","0.4","13.0","0.4","15.9","0.5","100461","953","126287","1434","(X)","(X)","44.9","(X)","(X)","(X)","415700","3400","1.5","0.2","0.8","0.1","2.4","0.2","3.5","0.3","6.5","0.3","13.4","0.5","13.8","0.4","23.0","0.6","15.3","0.5","19.9","0.6","116044","1116","142886","1818","(X)","(X)","(X)","(X)","(X)","(X)","192254","3202","9.3","0.6","6.5","0.5","12.5","0.7","10.3","0.5","12.5","0.6","15.3","0.7","10.8","0.7","12.1","0.6","5.5","0.4","5.2","0.5","48497","1220","72490","1395","(X)","(X)","(X)","(X)","36.9","(X)",
"0500000US06067","Sacramento County, California","568223","1146","4.4","0.2","3.2","0.2","5.4","0.2","5.4","0.3","9.3","0.3","14.6","0.4","13.5","0.3","19.4","0.4","11.1","0.4","13.7","0.3","88724","986","114458","1124","36.3","(X)","(X)","(X)","(X)","(X)","374861","2703","2.9","0.2","1.8","0.2","3.9","0.3","4.8","0.3","8.4","0.4","13.2","0.5","13.2","0.5","21.5","0.5","13.0","0.5","17.4","0.5","103270","1188","129586","1461","(X)","(X)","38.6","(X)","(X)","(X)","260562","2990","1.5","0.2","0.9","0.2","2.8","0.3","3.1","0.3","5.9","0.4","11.4","0.5","12.7","0.6","23.1","0.6","16.1","0.7","22.6","0.6","124437","1642","150539","1774","(X)","(X)","(X)","(X)","(X)","(X)","193362","2815","8.1","0.5","6.5","0.5","8.9","0.5","7.7","0.6","11.9","0.7","17.8","0.8","13.8","0.8","14.1","0.7","6.0","0.5","5.2","0.4","59383","1160","77678","1624","(X)","(X)","(X)","(X)","29.7","(X)",
